PhraseID,Sentence,Phrase,count,WordCount,Sentiment,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
704,1,adoring,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
704,1,and,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,1,adoring,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
705,1,fans,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
706,1,fans,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
706,1,missed,1,1,-1,1,0,0,0,0,-1,1,0,0,-1,1,0
707,1,missed,1,1,-1,1,0,0,0,0,-1,1,0,0,-1,1,0
707,1,terribly,1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,0
708,1,terribly,1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,0
709,1,always,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
710,1,always,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
710,1,david,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
711,1,bowie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
711,1,david,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
712,1,bowie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
713,1,birthday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
714,1,birthday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
714,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
715,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
715,1,live,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
716,1,live,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
717,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
718,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
718,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
719,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
719,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
720,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
720,1,new,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
721,1,new,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
721,1,york,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
722,1,york,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
726,1,1997,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727,1,1997,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,1,david,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
729,1,bowie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
729,1,david,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
730,1,bowie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
731,1,wmg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
732,1,wmg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
733,1,nom,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
734,1,nom,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
736,1,catalog,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
737,1,[audio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
737,1,catalog,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
738,1,[audio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
738,1,upgrade],1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
739,1,line,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
739,1,upgrade],1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
740,1,line,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
741,1,-da…,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
742,1,-da…,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
743,1,love,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
744,1,love,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
744,1,this,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745,1,album,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
745,1,this,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746,1,album,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
747,1,met,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
748,1,met,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
748,1,peter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
749,1,frampton,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
